abandon[2'b9nd2n]vt. 放弃
absenteeism[]n. 旷工；旷课
abstract['9bstr9kt]a. 抽象的
abundance[2'b3nd2ns]n. 大量，丰富
abundant[2'b3nd2nt]a. 丰富的
abundant[2'b3nd2nt]a. 充足的；富裕的
abuse[2'bju:z, 2'bju:s]n. 冷落；虐待；滥用
abut[2'b3t]vi. 邻接；毗邻
acacia[2'kei62]n. 金合花
academic[9k2'demik]a. 学术的
accelerate[9k'sel2reit]vi. 加速
acceleration[9ksel2'rei62n]n. 增速
accessibility[9kses2'biliti]n. 可得性；可近性
accidentally[9ksi'dent2li]ad. 偶然地；意外地
acclaim[2'kleim]vt. 向...欢呼；称赞
accommodate[2'k0m2deit]vt. 容纳；容...进入(通过)
accompany[2'k3mp2ni]vt. 陪伴，陪同, 为...伴奏(或伴唱)
accomplishment[2'k0mpli6m2nt]n. 技能；成就
accordion[2'k0:di2n]n. 手风琴
account[2'kaunt]n. 描述
accountant[2'kaunt2nt]n. 会计
accumulate[2'kju:mjuleit]vt. 积累
accumulation[2kju:mju'lei62n]n. 积累
accuracy['9kjur2si]n. 精确
accusation[9kju(:)'zei62n]n. 指控
acidic[2'sidik]a. 酸(性)的
acquaintance[2'kweint2ns]n. 熟人
acquire[2'kwai2]vt. 获得
acquire[2'kwai2]vt. 习得
acquisition['9kwi'zi62n]n. (有价值的)获得
acre['eik2]n. 英亩
acute[2'kju:t]a. 敏锐的, 严重的；剧烈的
adaptable[2'd9pt2bl]a. 适应性强的
adaptation[9d9p'tei62n]n. 适应
additive['9ditiv]a. 加色法的
address[2'dres]vt. 对...发表演说, 对付，处理
adjacent[2'd7eis2nt]a. 邻近的
adjust[2'd73st]vt. 调节
adjustment[2'd73stm2nt]n. 调节
administer[2d'minist2]vt. 实施，掌管
administration[2dminis'trei62n]n. 政府,(官员)任期；管理
administration[2dminis'trei62n]n. (药的)配给，服用
admiring[2d'mairi8]a. 赞美的
adobe[2'd2ub]n. 砖坯；土墙
adolescence[9d2u'lesns]n. 青春期
adolescent[9d2'les2nt]n. 青少年(此处是类比)
adopt[2'd0pt]vt. 采取，采纳
adoption[2'd0p62n]n. 采用；采纳
adorn[2'd0:n]vt. 装饰
adrenalin[2'dren2lin]n. 肾上腺素
advance[2d'va:ns]vt. 提升,提出
advantage[2d'va:ntid7]n. 优点
advent['9dv2nt]n. 出现；到来
adverse['9dv2:s]a. 反面的，不友好的
advocate['9dv2kit]vt. 提倡,n. 提倡者，拥护者
aesthetic[i:s'4etik]a. 美学的；审美的
affiliate[2'filieit]vt. 使录属于，使成分会员；使紧密联系
affinity[2'finiti]n. 密切关系
affirm[2'f2:m]vt. 声明；断言
affordable[]a. 买得起的
afloat[2'fl2ut]a. & ad. 漂浮着(的)
age[eid7]vi. 变老，增岁
agent['eid72nt]n. 代理商，代理处
aggregate['9grigeit]n. 聚集体，总数
aggregation[9gri'gei62n]n. 聚集地
aggressive[2'gresiv]a. 侵略的
aggressively[]ad. 侵略的；有闯劲的
agitate['9d7iteit]vi. 煽动；鼓动
agitation[9d7i'tei62n]n. 活动；鼓动
aide[eid]n. 副官
air[/2]n. 气氛；外观
airborne['/2b0:n]airbear的过去分词，意为在空中
airtight['/2tait]vt. 捆绑；捆扎
alchemist['9lkimist]n. 炼丹家
aldosterone[]n. 醛固酮
alga['9lg2]n. 水藻
alien['eilj2n]a. 陌生的；外国的
all-star[]由明星演员(或运动员)组成的
allegory['9lig2ri]n. 寓意；寓言
alloy['9l0i, 2'l0i]n. 合金
allusive[2'lu:siv]a. 含暗示的；含典故的
aloof[2'lu:f]a. 远离的；孤零的
alter['0:lt2]vt. 改变
alternate[0:l't2:nit]a. 可供选择的；可替换的
alternately[0:l't2:nitli]ad. 交替地
alternative[0:l't2:n2tiv]n. 供替代的抉择
altitude['9ltitju:d]n. 高度
aluminum[9lju'minj2m]n. 铝
alumni[2'l3mnai]n. 男校友；男毕业生
amateur['9m2t2:]n. 业余爱好者
amazing[2'meizi8]a. 令人吃惊的
ambidextrous[9mbi'dekstr2s]a. 两手都善用的
ambiguity[9mbi'gju:iti]n. 意义不明确；模棱两可
ambition[9m'bi62n]n. 志向，抱负
ambitious[9m'bi62s]a. 费劲的，要求过高的；雄心勃勃的
ambivalent[9m'biv2l2nt]a. 含糊不定的；(态度等)矛盾的
ameliorate[2'mi:lj2reit]vt. 改善；缓和
amenable[2'mi:n2bl]a. 经得起检验的；顺从的；对...负有义务(或责任)的
Amendment[2'mendm2nt]n. 修正案
amenity[2'mi:niti]n. 令人愉快的举动
amethyst['9m24ist]n. 紫晶
amid[2'mid]prep. 在...中间
ammonia[2'm2unj2]n. (化)氨
